Models,차량 구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,국가명,연도
i10 (AC3),PC," 4,791 "," 3,820 "," 5,365 "," 3,514 "," 4,714 "," 5,812 "," 4,593 "," 2,961 "," 4,762 "," 3,965 "," 4,564 "," 3,953 ",EU,2023
i20 (GB),PC, - , - , - , - , - , - , - , - , - , - , - , - ,EU,2023
i20 (BC3),PC," 3,100 "," 3,221 "," 5,174 "," 4,437 "," 4,722 "," 4,607 "," 4,908 "," 3,119 "," 4,747 "," 3,872 "," 3,459 "," 3,041 ",EU,2023
i20 N (BC3 N),PC, 202 , 194 , 600 , 360 , 444 , 342 , 298 , 379 , 663 , 592 , 597 , 634 ,EU,2023
Elantra,PC, 117 , 131 , 108 , 181 , 147 , 237 , 198 , 90 , 40 , 31 , 80 , 30 ,EU,2023
IONIQ (HEV),PC, 54 , 17 , 34 , 12 , 19 , - , 2 , - , - , - , - , - ,EU,2023
IONIQ (PHEV),PC, 12 , 2 , 6 , 1 , 1 , 1 , 2 , - , 3 , - , - , - ,EU,2023
IONIQ (EV),PC, 76 , 3 , 74 , 12 , - , 2 , - , - , 2 , - , 5 , 1 ,EU,2023
i30 (PD),PC," 3,348 "," 2,848 "," 3,549 "," 3,083 "," 3,064 "," 3,300 "," 2,765 "," 2,188 "," 2,885 "," 2,689 "," 2,983 "," 2,557 ",EU,2023
i30 (PD N),PC, 408 , 320 , 506 , 431 , 474 , 289 , 281 , 241 , 434 , 405 , 390 , 451 ,EU,2023
i40 (VF),PC, - , - , - , - , - , - , - , - , - , - , - , - ,EU,2023
Ioniq6 EV (CE_EV),PC, 267 , 803 , 865 ," 1,084 ", 827 , 893 ," 1,067 "," 1,505 ", 910 , 862 , 804 , 932 ,EU,2023
G80 (DH),PC, - , - , - , - , - , - , - , - , - , - , - , - ,EU,2023
ix20 (JC),RV, - , - , - , - , - , - , - , - , - , - , - , - ,EU,2023
Bayon (BC3 CUV),RV," 1,521 "," 1,846 "," 2,840 "," 1,343 "," 2,241 "," 2,749 "," 1,773 "," 1,704 "," 2,755 "," 2,905 "," 3,566 "," 2,550 ",EU,2023
Kona (OS),RV," 1,701 "," 1,563 "," 2,640 "," 2,217 "," 1,729 "," 2,831 ", 753 , 318 , 210 , 69 , 48 , 17 ,EU,2023
Kona (OS EV),RV, 536 , 336 ," 1,170 ", 818 , 666 , 664 , 507 , 297 , 607 , 221 , 179 , 62 ,EU,2023
Kona (Ose- EV),RV," 1,158 "," 1,812 "," 2,731 "," 1,803 "," 2,134 "," 2,635 "," 2,561 "," 2,318 "," 1,619 "," 1,008 ", 586 , 679 ,EU,2023
Kona (OS HEV),RV," 2,080 "," 1,564 "," 2,151 "," 1,541 "," 1,654 "," 1,570 ", 398 , 149 , 123 , 84 , 32 , 15 ,EU,2023
Kona N (OS N),RV, 164 , 120 , 339 , 471 , 329 , 108 , 86 , 67 , 105 , 98 , 79 , 68 ,EU,2023
Kona (SX2),RV, - , - , - , - , 3 , 487 , 839 , 844 ," 1,598 "," 1,518 "," 2,093 "," 1,553 ",EU,2023
Kona (SX2 HEV),RV, - , - , - , - , 89 , 811 ," 1,525 "," 1,528 "," 2,758 "," 2,932 "," 2,218 "," 2,526 ",EU,2023
Kona (SXe_EV),RV, - , - , - , - , - , - , - , 528 , 706 , 918 ," 1,547 "," 1,409 ",EU,2023
Tucson (TLe),RV, - , - , - , - , - , - , - , - , - , - , - , - ,EU,2023
Tucson (NX4e),RV," 3,622 "," 4,449 "," 7,501 "," 4,779 "," 5,322 "," 5,966 "," 5,377 "," 3,039 "," 5,698 "," 5,432 "," 5,219 "," 4,874 ",EU,2023
Tucson (NX4e HEV),RV," 3,373 "," 3,959 "," 6,497 "," 4,423 "," 4,543 "," 5,291 "," 3,606 "," 2,228 "," 5,608 "," 4,269 "," 4,501 "," 4,105 ",EU,2023
Tucson (NX4e PHEV),RV," 1,476 "," 1,322 "," 2,201 "," 1,934 "," 2,120 "," 2,166 "," 1,331 ", 908 ," 1,640 "," 1,771 "," 1,741 "," 1,394 ",EU,2023
NEXO (FE),RV, 44 , 2 , 9 , 6 , 5 , 16 , 9 , - , 1 , 2 , 2 , 1 ,EU,2023
IONIQ 5 (NE),RV," 2,331 "," 1,811 "," 1,972 "," 2,220 "," 2,188 "," 2,400 "," 2,040 "," 2,213 "," 1,987 "," 1,928 "," 1,403 "," 1,414 ",EU,2023
Santa-Fe (DM),RV, - , - , - , - , - , - , - , - , - , - , - , - ,EU,2023
Santa-Fe (TM),RV, 230 , 320 , 387 , 260 , 258 , 230 , 161 , 181 , 205 , 371 , 198 , 105 ,EU,2023
Santa Fe HEV (TM HEV),RV, 467 , 307 , 486 , 377 , 306 , 460 , 344 , 266 , 512 , 336 , 264 , 204 ,EU,2023
Santa Fe PHEV (TM PHEV),RV, 200 , 127 , 161 , 272 , 355 , 498 , 330 , 281 , 483 , 365 , 270 , 244 ,EU,2023
Light CV,Light CV, 221 , 290 , 366 , 216 , 217 , 611 , 307 , 268 , 525 , 289 , 357 , 414 ,EU,2023
i10 (AC3),PC," 4,120 "," 4,148 "," 5,293 "," 4,120 "," 5,490 "," 6,588 "," 5,534 "," 3,781 "," 6,136 "," 5,257 "," 4,988 "," 3,511 ",EU,2024
i20 (GB),PC, - , - , - , - , - , - , - , - , - , - , - , - ,EU,2024
i20 (BC3),PC," 3,843 "," 3,372 "," 5,506 "," 5,496 "," 5,270 "," 5,266 "," 4,106 "," 3,541 "," 4,922 "," 4,242 "," 3,600 "," 3,395 ",EU,2024
i20 N (BC3 N),PC, 641 , 521 , 947 , 562 , 456 , 340 , 242 , 167 , 110 , 72 , 48 , 53 ,EU,2024
Elantra,PC, 51 , 34 , 74 , 118 , 98 , 100 , 246 , 176 , 51 , 64 , 31 , 34 ,EU,2024
IONIQ (HEV),PC, - , - , - , - , - , - , - , - , - , - , - , - ,EU,2024
IONIQ (PHEV),PC, - , - , - , - , - , - , - , - , - , - , - , - ,EU,2024
IONIQ (EV),PC, - , - , - , - , - , - , - , - , - , - , - , - ,EU,2024
i30 (PD),PC," 2,695 "," 2,910 "," 3,392 "," 3,294 "," 3,376 "," 2,799 "," 3,166 "," 2,323 "," 2,920 "," 3,326 "," 3,151 "," 2,616 ",EU,2024
i30 (PD N),PC, 493 , 369 , 878 , 630 , 455 , 623 , 106 , 69 , 58 , 32 , 15 , 38 ,EU,2024
i40 (VF),PC, - , - , - , - , - , - , - , - , - , - , - , - ,EU,2024
Ioniq6 EV (CE_EV),PC, 683 , 452 , 986 , 591 , 453 , 541 , 370 , 348 , 738 , 398 , 427 , 644 ,EU,2024
G80 (DH),PC, - , - , - , - , - , - , - , - , - , - , - , - ,EU,2024
ix20 (JC),RV, - , - , - , - , - , - , - , - , - , - , - , - ,EU,2024
Bayon (BC3 CUV),RV," 2,596 "," 2,431 "," 3,072 "," 2,321 "," 2,625 "," 2,689 "," 1,806 "," 1,490 "," 2,878 "," 2,002 "," 2,501 "," 1,830 ",EU,2024
Casper (AX EV),RV, - , - , - , - , - , - , - , - , - , - , - , 450 ,EU,2024
Kona (OS),RV, 5 , 2 , 6 , 2 , 2 , - , - , 1 , - , - , - , - ,EU,2024
Kona (EV),RV, 57 , 22 , 27 , 8 , 2 , 5 , 3 , - , 11 , - , 1 , - ,EU,2024
Kona (Ose- EV),RV, 201 , 666 , 154 , 42 , 40 , 38 , 16 , 4 , 5 , 1 , 3 , 4 ,EU,2024
Kona (HEV),RV, 9 , 4 , 2 , 1 , 1 , - , - , - , - , - , 1 , - ,EU,2024
Kona N,RV, 21 , 6 , 5 , 5 , 1 , 1 , - , - , - , - , 3 , - ,EU,2024
Kona (SX2),RV," 1,454 "," 1,503 "," 2,401 "," 1,588 "," 1,722 "," 1,652 "," 1,209 ", 768 ," 1,032 "," 1,124 "," 1,202 ", 839 ,EU,2024
Kona (SX2 HEV),RV," 1,779 "," 1,540 "," 2,784 "," 3,449 "," 3,291 "," 3,974 "," 3,240 "," 2,324 "," 3,448 "," 2,784 "," 2,617 "," 2,256 ",EU,2024
Kona (SXe_EV),RV," 1,330 "," 1,817 "," 3,172 "," 2,341 "," 2,347 "," 2,672 "," 2,396 "," 1,904 "," 3,509 "," 2,622 "," 2,021 "," 2,345 ",EU,2024
Tucson (TLe),RV, - , - , - , - , (1), - , - , - , - , - , - , - ,EU,2024
Tucson (NX4e),RV," 3,949 "," 4,372 "," 6,706 "," 4,153 "," 5,081 "," 5,239 "," 4,218 "," 3,048 "," 4,665 "," 4,148 "," 4,811 "," 3,839 ",EU,2024
Tucson (NX4e HEV),RV," 3,725 "," 3,287 "," 6,124 "," 4,289 "," 4,181 "," 5,065 "," 5,024 "," 2,960 "," 6,658 "," 4,637 "," 4,885 "," 4,374 ",EU,2024
Tucson (NX4e PHEV),RV," 1,195 ", 842 ," 1,987 "," 1,227 "," 1,530 "," 1,302 "," 1,164 ", 961 ," 1,599 "," 1,315 "," 1,571 "," 1,252 ",EU,2024
NEXO (FE),RV, - , 2 , - , - , 1 , 1 , 1 , 4 , 1 , - , 1 , - ,EU,2024
IONIQ 5 (NE),RV, 938 , 732 ," 1,415 "," 1,411 "," 1,838 "," 1,823 "," 1,395 ", 817 ," 1,232 ", 814 , 872 ," 1,033 ",EU,2024
IONIQ 5 (NE N),RV, 5 , 303 , 253 , 191 , 151 , 141 , 187 , 173 , 240 , 187 , 265 , 176 ,EU,2024
Santa-Fe (DM),RV, - , - , - , - , - , - , - , - , - , - , - , - ,EU,2024
Santa-Fe (TM),RV, 72 , 42 , 47 , 36 , 13 , 13 , 7 , 5 , 2 , - , - , - ,EU,2024
Santa Fe HEV (TM HEV),RV, 170 , 87 , 155 , 60 , 49 , 34 , 13 , - , 8 , 9 , 7 , 7 ,EU,2024
Santa Fe PHEV (TM PHEV),RV, 203 , 146 , 123 , 66 , 60 , 55 , 61 , 55 , 17 , 31 , 41 , 17 ,EU,2024
Santa Fe HEV (MX5 HEV),RV, - , - , - , - , - , 115 , 304 , 419 , 724 , 496 , 582 , 366 ,EU,2024
Santa Fe PHEV (MX5 PHEV),RV, - , - , - , - , 1 , 323 , 288 , 269 , 393 , 357 , 309 , 382 ,EU,2024
Light CV,Light CV, 296 , 551 , 447 , 386 , 383 , 274 , 165 , 139 , 67 , 175 , 319 , 72 ,EU,2024
i10 (AC3),PC," 4,224 ",,,,,,,,,,,,EU,2025
i20 (GB),PC, - ,,,,,,,,,,,,EU,2025
i20 (BC3),PC," 4,167 ",,,,,,,,,,,,EU,2025
i20 N (BC3 N),PC, 30 ,,,,,,,,,,,,EU,2025
Elantra,PC, 14 ,,,,,,,,,,,,EU,2025
IONIQ (HEV),PC, - ,,,,,,,,,,,,EU,2025
IONIQ (PHEV),PC, - ,,,,,,,,,,,,EU,2025
IONIQ (EV),PC, - ,,,,,,,,,,,,EU,2025
Sonata (DN8),PC, - ,,,,,,,,,,,,EU,2025
i30 (PD),PC," 2,276 ",,,,,,,,,,,,EU,2025
i30 (PD N),PC, 24 ,,,,,,,,,,,,EU,2025
i40 (VF),PC, - ,,,,,,,,,,,,EU,2025
Ioniq6 EV (CE_EV),PC, 249 ,,,,,,,,,,,,EU,2025
G70,PC, - ,,,,,,,,,,,,EU,2025
G80 (DH),PC, - ,,,,,,,,,,,,EU,2025
ix20 (JC),RV, - ,,,,,,,,,,,,EU,2025
Bayon (BC3 CUV),RV," 1,576 ",,,,,,,,,,,,EU,2025
Casper (AX EV),RV, 868 ,,,,,,,,,,,,EU,2025
Venue (QX),RV, - ,,,,,,,,,,,,EU,2025
Kona (OS),RV, - ,,,,,,,,,,,,EU,2025
Kona (EV),RV, - ,,,,,,,,,,,,EU,2025
Kona (Ose- EV),RV, 1 ,,,,,,,,,,,,EU,2025
Kona (HEV),RV, - ,,,,,,,,,,,,EU,2025
Kona N,RV, - ,,,,,,,,,,,,EU,2025
Kona (SX2),RV, 931 ,,,,,,,,,,,,EU,2025
Kona (SX2 HEV),RV," 2,593 ",,,,,,,,,,,,EU,2025
Kona (SXe_EV),RV," 1,927 ",,,,,,,,,,,,EU,2025
Tucson (TLe),RV, - ,,,,,,,,,,,,EU,2025
Tucson (NX4e),RV," 2,930 ",,,,,,,,,,,,EU,2025
Tucson (NX4e HEV),RV," 4,042 ",,,,,,,,,,,,EU,2025
Tucson (NX4e PHEV),RV," 1,477 ",,,,,,,,,,,,EU,2025
NEXO (FE),RV, - ,,,,,,,,,,,,EU,2025
IONIQ 5 (NE),RV," 1,210 ",,,,,,,,,,,,EU,2025
IONIQ 5 (NE N),RV, 190 ,,,,,,,,,,,,EU,2025
Santa-Fe (DM),RV, - ,,,,,,,,,,,,EU,2025
Santa-Fe (TM),RV, - ,,,,,,,,,,,,EU,2025
Santa Fe HEV (TM HEV),RV, - ,,,,,,,,,,,,EU,2025
Santa Fe PHEV (TM PHEV),RV, 39 ,,,,,,,,,,,,EU,2025
SantaFe (MX5),RV, - ,,,,,,,,,,,,EU,2025
Santa Fe HEV (MX5 HEV),RV, 483 ,,,,,,,,,,,,EU,2025
Santa Fe PHEV (MX5 PHEV),RV, 483 ,,,,,,,,,,,,EU,2025
Palisade (LX2),RV, - ,,,,,,,,,,,,EU,2025
GV60 (JW EV),RV, - ,,,,,,,,,,,,EU,2025
GV70 (JK),RV, - ,,,,,,,,,,,,EU,2025
GV70 EV (JK EV),RV, - ,,,,,,,,,,,,EU,2025
GV80 (JX),RV, - ,,,,,,,,,,,,EU,2025
Light CV,Light CV, 148 ,,,,,,,,,,,,EU,2025
Accent,PC,16 ,12 ,2 ,- ,- ,- ,1 ,- ,- ,- ,- ,- ,US,2023
Veloster,PC,3 ,1 ,1 ,1 ,- ,- ,- ,- ,- ,- ,- ,- ,US,2023
Elantra,PC,"8,655 ","10,371 ","13,447 ","13,236 ","15,605 ","13,424 ","11,898 ","11,262 ","9,405 ","9,456 ","8,813 ","8,577 ",US,2023
IONIQ,PC,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,US,2023
Sonata,PC,"4,873 ","4,307 ","5,310 ","4,689 ","4,321 ","3,834 ","3,209 ","3,397 ","3,401 ","2,460 ","2,321 ","3,222 ",US,2023
G70,PC,804 ,719 ,"1,057 ","1,139 ","1,156 ","1,353 ","1,310 ","1,394 ","1,751 ",982 ,684 ,897 ,US,2023
G80 (RG3),PC,226 ,172 ,296 ,383 ,370 ,768 ,400 ,186 ,300 ,369 ,322 ,378 ,US,2023
G80 (RG3 EV),PC,33 ,32 ,315 ,94 ,120 ,119 ,227 ,107 ,137 ,103 ,16 ,26 ,US,2023
G90,PC,105 ,111 ,140 ,120 ,113 ,114 ,108 ,119 ,92 ,68 ,125 ,130 ,US,2023
Venue,RV,"2,441 ","2,537 ","3,625 ","2,648 ","2,413 ","2,695 ","2,581 ","2,197 ","1,732 ","1,757 ","1,716 ","1,667 ",US,2023
Kona,RV,"5,826 ","6,080 ","7,314 ","6,831 ","5,613 ","6,261 ","6,123 ","5,777 ","6,693 ","7,927 ","6,991 ","7,680 ",US,2023
Tucson,RV,"12,028 ","14,031 ","20,111 ","18,676 ","18,038 ","17,707 ","17,534 ","16,242 ","18,813 ","15,638 ","21,382 ","19,424 ",US,2023
Santa Cruz(Tucson O/B),RV,"2,614 ","2,868 ","3,825 ","3,590 ","3,526 ","3,627 ","2,903 ","3,079 ","3,051 ","2,555 ","2,396 ","2,641 ",US,2023
Nexo,RV,16 ,28 ,21 ,16 ,16 ,8 ,34 ,18 ,16 ,23 ,20 ,25 ,US,2023
IONIQ 5,RV,"1,548 ","2,074 ","2,114 ","2,323 ","2,446 ","3,136 ","4,135 ","3,572 ","3,958 ","2,979 ","2,372 ","3,261 ",US,2023
IONIQ 6,RV,- ,- ,222 ,890 ,971 ,"1,162 ","1,745 ","1,663 ","1,665 ","1,239 ","1,386 ","2,056 ",US,2023
Santa Fe,RV,"7,297 ","7,993 ","13,236 ","10,953 ","10,039 ","11,624 ","10,612 ","11,732 ","12,676 ","9,700 ","13,497 ","12,215 ",US,2023
Palisade,RV,"6,684 ","6,742 ","6,176 ","6,959 ","7,013 ","5,873 ","5,752 ","6,107 ","7,551 ","7,071 ","9,185 ","14,396 ",US,2023
GV60,RV,129 ,171 ,212 ,267 ,276 ,265 ,261 ,258 ,379 ,353 ,434 ,395 ,US,2023
GV70,RV,"1,401 ","1,762 ","2,100 ","2,219 ","2,047 ","1,745 ","2,416 ","2,293 ","1,828 ","1,885 ","2,028 ","2,590 ",US,2023
GV70 EV,RV,- ,- ,45 ,161 ,187 ,133 ,109 ,158 ,166 ,174 ,294 ,247 ,US,2023
GV80,RV,"1,207 ","1,241 ","1,491 ","1,474 ","1,336 ","1,506 ","1,499 ","1,938 ","1,991 ","1,790 ","2,084 ","2,140 ",US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
,,,,,,,,,,,,,,US,2023
Accent,PC,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,US,2024
Veloster,PC,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,US,2024
Elantra,PC,"6,900 ","8,432 ","11,528 ","10,102 ","13,311 ","12,016 ","13,764 ","14,379 ","11,186 ","12,151 ","11,344 ","11,585 ",US,2024
IONIQ,PC,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,US,2024
Sonata,PC,"3,121 ","4,379 ","5,664 ","5,348 ","6,700 ","5,935 ","5,755 ","5,953 ","5,575 ","6,300 ","6,971 ","7,642 ",US,2024
G70,PC,986 ,686 ,"1,020 ","1,035 ",931 ,838 ,850 ,"1,055 ","1,137 ","1,016 ","1,548 ","1,156 ",US,2024
G80 (RG3),PC,229 ,320 ,419 ,321 ,388 ,313 ,250 ,311 ,257 ,268 ,362 ,320 ,US,2024
G80 (RG3 EV),PC,23 ,26 ,55 ,9 ,11 ,16 ,24 ,79 ,52 ,44 ,29 ,29 ,US,2024
G90,PC,202 ,100 ,140 ,75 ,95 ,85 ,112 ,118 ,90 ,178 ,150 ,158 ,US,2024
Venue,RV,"1,435 ","1,959 ","2,538 ","2,401 ","2,494 ","2,544 ","2,400 ","2,470 ","1,602 ","1,444 ","1,521 ","1,799 ",US,2024
Kona,RV,"6,577 ","7,024 ","9,453 ","8,273 ","8,308 ","6,904 ","6,713 ","6,112 ","5,144 ","5,685 ","6,133 ","5,846 ",US,2024
Tucson,RV,"11,116 ","15,999 ","18,394 ","15,685 ","17,371 ","13,581 ","16,135 ","20,864 ","16,802 ","19,829 ","20,178 ","20,172 ",US,2024
Santa Cruz(Tucson O/B),RV,"2,487 ","2,568 ","3,362 ","2,956 ","3,603 ","2,969 ","2,615 ","2,486 ","2,125 ","2,427 ","2,393 ","2,042 ",US,2024
Nexo,RV,23 ,11 ,17 ,13 ,6 ,7 ,2 ,8 ,2 ,4 ,- ,1 ,US,2024
IONIQ 5,RV,"1,465 ","1,993 ","3,361 ","3,702 ","4,434 ","3,746 ","3,413 ","4,838 ","3,326 ","4,498 ","4,980 ","4,595 ",US,2024
IONIQ 5 Robo Taxi,RV,- ,3 ,- ,- ,15 ,9 ,3 ,- ,10 ,- ,9 ,- ,US,2024
IONIQ 6,RV,760 ,902 ,"1,984 ","1,253 ","1,099 ",914 ,778 ,808 ,599 ,837 ,"1,121 ","1,209 ",US,2024
Santa Fe,RV,"6,021 ","9,239 ","10,834 ","9,728 ","10,997 ","9,803 ","8,989 ","10,152 ","7,918 ","9,644 ","12,376 ","13,309 ",US,2024
Palisade,RV,"7,638 ","7,832 ","9,785 ","9,142 ","10,147 ","9,203 ","8,635 ","11,208 ","8,202 ","8,983 ","8,982 ","10,298 ",US,2024
GV60,RV,166 ,147 ,160 ,254 ,262 ,237 ,296 ,296 ,180 ,203 ,285 ,380 ,US,2024
GV70,RV,"1,471 ","1,760 ","1,684 ","1,496 ","1,894 ","2,001 ","2,483 ","3,005 ","2,343 ","2,594 ","3,086 ","3,127 ",US,2024
GV70 EV,RV,114 ,146 ,155 ,379 ,732 ,349 ,198 ,178 ,92 ,154 ,149 ,330 ,US,2024
GV80,RV,"1,078 ","1,420 ","2,270 ","1,939 ","1,604 ","1,780 ","1,981 ","2,344 ","2,386 ","2,446 ","2,394 ","2,659 ",US,2024
Accent,PC,- ,,,,,,,,,,,,US,2025
Veloster,PC,- ,,,,,,,,,,,,US,2025
Elantra,PC,"8,866 ",,,,,,,,,,,,US,2025
IONIQ,PC,- ,,,,,,,,,,,,US,2025
Sonata,PC,"4,757 ",,,,,,,,,,,,US,2025
G70,PC,642 ,,,,,,,,,,,,US,2025
G80 (RG3),PC,257 ,,,,,,,,,,,,US,2025
G80 (RG3 EV),PC,20 ,,,,,,,,,,,,US,2025
G90,PC,119 ,,,,,,,,,,,,US,2025
Venue,RV,"1,600 ",,,,,,,,,,,,US,2025
Kona,RV,"4,365 ",,,,,,,,,,,,US,2025
Tucson,RV,"15,025 ",,,,,,,,,,,,US,2025
Santa Cruz(Tucson O/B),RV,"1,786 ",,,,,,,,,,,,US,2025
Nexo,RV,- ,,,,,,,,,,,,US,2025
IONIQ 5,RV,"2,249 ",,,,,,,,,,,,US,2025
IONIQ 5 Robo Taxi,RV,1 ,,,,,,,,,,,,US,2025
IONIQ 6,RV,871 ,,,,,,,,,,,,US,2025
Santa Fe,RV,"8,296 ",,,,,,,,,,,,US,2025
Palisade,RV,"6,687 ",,,,,,,,,,,,US,2025
GV60,RV,189 ,,,,,,,,,,,,US,2025
GV70,RV,"1,826 ",,,,,,,,,,,,US,2025
GV70 EV,RV,195 ,,,,,,,,,,,,US,2025
GV80,RV,"1,604 ",,,,,,,,,,,,US,2025
